,track_id,track_name,track_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,intervals
7851,3EVwqtxoYiJmUd1Ennr10W,6 AM,J Balvin,0.754,0.743,5,-5.0489999999999995,0,0.0918,0.14400000000000002,0.0,0.275,0.74,176.015,243227,-2
7852,3Ew1a7YR8c55e9ShskOZFO,Wrong Side Of Heaven,Five Finger Death Punch,0.475,0.9329999999999999,4,-4.584,0,0.0693,0.00731,0.0,0.276,0.5429999999999999,150.078,270933,-2
7853,3eW2EDwNRAiQKkgom96dUa,Summer Air (feat. Trevor Guthrie),Hardwell,0.632,0.574,4,-8.584,1,0.053,0.0942,0.0,0.215,0.557,125.98899999999999,201905,-1
7854,3EwnwCYCO2mnCoYj5NLhER,Ni Gucci Ni Prada - Remix,Kenny Man,0.81,0.7559999999999999,2,-6.07,1,0.0969,0.245,0.0,0.358,0.919,105.005,212693,-1
7855,3eWS7zJviX0aRfQgyPB54G,Polish Girl,Neon Indian,0.631,0.883,9,-4.162,0,0.0357,0.00434,5.3e-05,0.138,0.441,111.979,264000,-1
7856,3Ex5RFJRUdpHcDOLXJOVLy,Raising Hell (feat. Big Freedia),Kesha,0.6759999999999999,0.8690000000000001,1,-4.689,0,0.132,0.00134,6.77e-05,0.0692,0.271,114.991,169681,-1
7857,3EXNWHiB6W70p1xCooJBnR,Now I Feel Ya,Scarface,0.7979999999999999,0.5489999999999999,11,-10.072000000000001,0,0.247,0.0347,0.00458,0.354,0.5660000000000001,78.908,452836,-1
7858,3EXrtClWmgsM7dw75Mw2M1,When You're Gone,The Cranberries,0.467,0.531,3,-7.138,1,0.0265,0.344,5.720000000000002e-05,0.0687,0.353,187.252,296200,-1
7859,3Ey11v2aiX14s4wBaYbhlp,Don't Waste My Time (feat. Ella Mai),Usher,0.701,0.778,2,-5.0760000000000005,1,0.201,0.125,0.0,0.0828,0.609,99.956,199720,-2
7860,3Ey4LfRjPERWCWE3dhENPq,Southside,Lil Keke,0.7959999999999999,0.71,6,-8.43,1,0.294,0.0113,0.00173,0.18899999999999997,0.762,172.14,290107,-1
7861,3EYOJ48Et32uATr9ZmLnAo,Roxanne,The Police,0.618,0.748,0,-8.905,1,0.358,0.0384,4.1e-06,0.0473,0.6629999999999999,134.114,191947,-2
7862,3EYTVekyY04eqdoi2iGlgJ,1 Adam 12,Delinquent Habits,0.804,0.7020000000000001,1,-8.566,1,0.175,0.0176,4.01e-05,0.301,0.727,92.97,216893,-2
7863,3f04ysVYLQoaKFHLHjezws,Un Par De Balas,C-Kan,0.816,0.813,8,-3.1239999999999997,1,0.361,0.44799999999999995,0.0,0.153,0.79,171.81599999999997,228092,-2
7864,3f0U5NaD1bCk8nmKpn2ZJY,Kodachrome,Paul Simon,0.5920000000000001,0.705,1,-10.276,0,0.0287,0.0291,1.9699999999999998e-05,0.0456,0.902,135.754,215400,-2
7865,3F1mueW8iouZUgjmawhVhe,GOOD BOY,GD X TAEYANG,0.745,0.825,1,-3.162,0,0.0352,0.000875,0.000218,0.0828,0.242,95.001,245192,-2
7866,3F1TIgyzrfdU4dF8c4C75U,Horizon,Seven Lions,0.379,0.7559999999999999,10,-5.379,0,0.106,0.019,0.000178,0.18600000000000005,0.11599999999999999,169.979,271059,-2
7867,3f2pJ9Mb9EcaCLJjm1aevz,I Give You My Heart,Mr. President,0.7440000000000001,0.9329999999999999,4,-4.875,1,0.0329,0.0027,0.000315,0.114,0.9109999999999999,145.977,215067,-2
7868,3F2We6fYbrFOsmPrJrFUE6,Uhh Ahh,Boyz II Men,0.722,0.6609999999999999,2,-8.236,1,0.0844,0.151,0.0,0.233,0.643,126.007,228763,-2
7869,3f6rlmQJ5pumaycQCbTPIk,Slow Mo 3,Leozin,0.643,0.529,1,-9.288,1,0.0421,0.26899999999999996,0.0434,0.255,0.20800000000000002,114.99700000000001,169058,-2
7870,3F8aTQzmKovktFcR7MCGFW,Big in Japan - Best of-Version,Alphaville,0.755,0.604,2,-9.84,0,0.0454,0.183,0.0336,0.128,0.491,97.8,235200,-1
7871,3f8TbkkP0VIdOKvLTMMTvU,"Cruise - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",Kygo,0.628,0.43799999999999994,7,-8.426,1,0.107,0.27899999999999997,0.0,0.16399999999999998,0.354,109.836,224333,-1
7872,3f8xfMuHb4cAbbrsmz6itv,Stone,Agnes Obel,0.613,0.275,2,-16.162,0,0.0321,0.982,0.10400000000000001,0.09699999999999999,0.201,134.958,236602,-2
7873,3f9DeMtU3Sifmf5dqs2Ava,"Devil (feat. Busta Rhymes, B.o.B & Neon Hitch)",Cash Cash,0.613,0.765,9,-2.9739999999999998,0,0.0568,0.055,0.0,0.205,0.335,144.893,210307,-2
7874,3f9Mzvd3URfbbIJBX4pz9Z,Phone Numbers,Dominic Fike,0.884,0.539,1,-6.388999999999999,0,0.20800000000000002,0.239,0.0,0.0805,0.7759999999999999,85.008,146827,-2
7875,3f9Vq2NkEErxgbToSAztFD,Kidnap Me,CRUISR,0.312,0.789,0,-6.29,1,0.0615,0.0251,1.05e-05,0.18600000000000005,0.82,176.745,202200,-2
7876,3fAwTY8XWSLxyX5Rgungap,Que Le De - Remix,Rauw Alejandro,0.795,0.7759999999999999,0,-2.29,1,0.0607,0.295,0.0,0.07400000000000001,0.701,100.01299999999999,312000,-1
7877,3fBuhWRaAlkXOUFFJL0Mag,Whole Lotta Love,Santana,0.406,0.988,9,-2.72,1,0.0926,0.0437,0.0637,0.0664,0.24,100.038,231360,-1
7878,3fbzKcWaLyY4ZNhnyhuBDP,Barrel Roll,Feed Me,0.6629999999999999,0.727,5,-5.606,1,0.3720000000000001,0.00379,0.0113,0.7340000000000001,0.34,126.17299999999999,257256,-1
7879,3fBzXNIRUnHl80OFhB0jo7,La Fuerza Del Destino,Fey,0.773,0.6940000000000001,5,-6.689,0,0.0315,0.156,0.00998,0.0938,0.8290000000000001,95.01899999999999,296827,-1
7880,3fCicSFX1SFnFK8sfRdArh,Liquor Locker,Vic Mensa,0.5589999999999999,0.4370000000000001,6,-7.086,0,0.149,0.0542,0.0,0.0551,0.485,79.806,258120,-2
